# BL Grating exposure times
# Updated 170411 with dome exposure times 
# Wave	     cont     fear	thar	dome
3500 	     0.70     20	40	7.0
3600 	     0.65     15	30	7.0
3700	     0.55     15	30	7.0
3800	     0.35     10	20	7.0
3900 	     0.35     10	20	7.0
4000 	     0.35     10	20	7.0
4100 	     0.35     10	20	7.0
4200 	     0.35     10	20	7.0
4300 	     0.35     10	20	7.0
4400 	     0.35     10	20	7.0
4500 	     0.35     10	20	7.0
4600 	     0.35     10	20	7.0
4700 	     0.35     10	20	7.0
4800 	     0.35     10	20	7.0
4900 	     0.35     10	20	7.0
5000 	     0.35     10	20	7.0
5100 	     0.35     10	20	7.0
5200 	     0.35     10	20	7.0
5300 	     0.35     10	20	7.0
5400 	     0.35     10	20	7.0
5500 	     0.35     10	20	7.0
5600  	     0.35     10	20	7.0

